envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
203	2007000	1791000	2151000	2271000	1671000	2151000	
204	2052000	1788000	2268000	2268000	1668000	2268000	
205	2073000	1785000	2385000	2265000	1665000	2265000	
206	2094000	1782000	2382000	2262000	1782000	2262000	
207	2115000	1779000	2379000	2259000	1779000	2379000	
208	2184000	1896000	2376000	2376000	1776000	2496000	
209	2205000	1893000	2493000	2373000	1773000	2493000	
210	2202000	1890000	2490000	2370000	1770000	2490000	
211	2247000	1887000	2607000	2367000	1767000	2607000	
212	2268000	2004000	2604000	2364000	1764000	2604000	
213	2265000	2001000	2601000	2361000	1761000	2601000	
214	2310000	2118000	2598000	2358000	1758000	2718000	
215	2307000	2115000	2595000	2355000	1755000	2715000	
216	2304000	2112000	2592000	2352000	1752000	2712000	
217	2349000	2109000	2709000	2349000	1869000	2709000	
218	2370000	2106000	2826000	2346000	1866000	2706000	
219	2391000	2223000	2823000	2343000	1863000	2703000	
220	2388000	2220000	2820000	2340000	1860000	2700000	
221	2385000	2217000	2817000	2337000	1857000	2697000	
222	2382000	2214000	2814000	2334000	1854000	2694000	
223	2379000	2211000	2811000	2331000	1851000	2691000	
224	2424000	2328000	2808000	2328000	1848000	2808000	
225	2445000	2325000	2805000	2325000	1845000	2925000	
226	2466000	2322000	2922000	2322000	1842000	2922000	
227	2463000	2319000	2919000	2319000	1839000	2919000	
228	2484000	2436000	2916000	2316000	1836000	2916000	
229	2481000	2433000	2913000	2313000	1833000	2913000	
230	2478000	2430000	2910000	2310000	1830000	2910000	
231	2475000	2427000	2907000	2307000	1827000	2907000	
232	2496000	2424000	2904000	2304000	1824000	3024000	
233	2493000	2421000	2901000	2301000	1821000	3021000	
234	2514000	2418000	2898000	2418000	1818000	3018000	
235	2511000	2415000	2895000	2415000	1815000	3015000	
236	2508000	2412000	2892000	2412000	1812000	3012000	
237	2529000	2409000	2889000	2529000	1809000	3009000	
238	2526000	2406000	2886000	2526000	1806000	3006000	
239	2547000	2403000	2883000	2523000	1923000	3003000	
240	2568000	2520000	2880000	2520000	1920000	3e+06	
241	2589000	2517000	2877000	2637000	1917000	2997000	
242	2610000	2514000	2874000	2634000	1914000	3114000	
243	2631000	2511000	2871000	2751000	1911000	3111000	
244	2628000	2508000	2868000	2748000	1908000	3108000	
245	2649000	2625000	2865000	2745000	1905000	3105000	
246	2646000	2622000	2862000	2742000	1902000	3102000	
247	2667000	2619000	2859000	2739000	2019000	3099000	
248	2664000	2616000	2856000	2736000	2016000	3096000	
249	2661000	2613000	2853000	2733000	2013000	3093000	
250	2658000	2610000	2850000	2730000	2010000	3090000	
251	2703000	2727000	2847000	2727000	2007000	3207000	
252	2724000	2844000	2844000	2724000	2004000	3204000	
253	2769000	2841000	2961000	2721000	2121000	3201000	
254	2766000	2838000	2958000	2718000	2118000	3198000	
255	2787000	2955000	2955000	2715000	2115000	3195000	
256	2784000	2952000	2952000	2712000	2112000	3192000	
257	2781000	2949000	2949000	2709000	2109000	3189000	
258	2802000	2946000	3066000	2706000	2106000	3186000	
259	2799000	2943000	3063000	2703000	2103000	3183000	
260	2820000	3060000	3060000	2700000	2100000	3180000	
261	2841000	3057000	3057000	2697000	2097000	3297000	
262	2838000	3054000	3054000	2694000	2094000	3294000	
263	2859000	3051000	3051000	2691000	2091000	3411000	
264	2904000	3048000	3168000	2688000	2208000	3408000	
265	2925000	3045000	3285000	2685000	2205000	3405000	
266	2922000	3042000	3282000	2682000	2202000	3402000	
267	2919000	3039000	3279000	2679000	2199000	3399000	
268	2940000	3156000	3276000	2676000	2196000	3396000	
269	2937000	3153000	3273000	2673000	2193000	3393000	
270	2958000	3150000	3270000	2670000	2190000	3510000	
271	2955000	3147000	3267000	2667000	2187000	3507000	
272	2976000	3144000	3264000	2784000	2184000	3504000	
273	2973000	3141000	3261000	2781000	2181000	3501000	
274	2970000	3138000	3258000	2778000	2178000	3498000	
275	2991000	3135000	3255000	2775000	2295000	3495000	
276	3036000	3252000	3252000	2772000	2412000	3492000	
277	3033000	3249000	3249000	2769000	2409000	3489000	
278	3030000	3246000	3246000	2766000	2406000	3486000	
279	3027000	3243000	3243000	2763000	2403000	3483000	
280	3048000	3240000	3240000	2760000	2520000	3480000	
281	3045000	3237000	3237000	2757000	2517000	3477000	
282	3066000	3234000	3354000	2754000	2514000	3474000	
283	3087000	3231000	3351000	2871000	2511000	3471000	
284	3108000	3348000	3348000	2868000	2508000	3468000	
285	3129000	3345000	3345000	2865000	2505000	3585000	
286	3150000	3342000	3342000	2862000	2622000	3582000	
287	3171000	3339000	3339000	2859000	2739000	3579000	
288	3168000	3336000	3336000	2856000	2736000	3576000	
289	3165000	3333000	3333000	2853000	2733000	3573000	
290	3186000	3330000	3330000	2970000	2730000	3570000	
291	3207000	3447000	3327000	2967000	2727000	3567000	
292	3228000	3444000	3324000	2964000	2724000	3684000	
293	3225000	3441000	3321000	2961000	2721000	3681000	
294	3246000	3558000	3318000	2958000	2718000	3678000	
295	3243000	3555000	3315000	2955000	2715000	3675000	
296	3264000	3552000	3312000	3072000	2712000	3672000	
297	3261000	3549000	3309000	3069000	2709000	3669000	
298	3258000	3546000	3306000	3066000	2706000	3666000	
299	3255000	3543000	3303000	3063000	2703000	3663000	
300	3252000	3540000	3300000	3060000	2700000	3660000	
301	3249000	3537000	3297000	3057000	2697000	3657000	
302	3270000	3534000	3294000	3174000	2694000	3654000	
303	3267000	3531000	3291000	3171000	2691000	3651000	
304	3312000	3648000	3408000	3168000	2688000	3648000	
305	3309000	3645000	3405000	3165000	2685000	3645000	
306	3306000	3642000	3402000	3162000	2682000	3642000	
307	3303000	3639000	3399000	3159000	2679000	3639000	
308	3324000	3636000	3396000	3156000	2796000	3636000	
309	3345000	3633000	3393000	3153000	2793000	3753000	
310	3342000	3630000	3390000	3150000	2790000	3750000	
311	3339000	3627000	3387000	3147000	2787000	3747000	
312	3336000	3624000	3384000	3144000	2784000	3744000	
313	3333000	3621000	3381000	3141000	2781000	3741000	
314	3354000	3618000	3378000	3258000	2778000	3738000	
315	3351000	3615000	3375000	3255000	2775000	3735000	
316	3372000	3612000	3372000	3252000	2772000	3852000	
317	3393000	3609000	3489000	3249000	2769000	3849000	
318	3390000	3606000	3486000	3246000	2766000	3846000	
319	3387000	3603000	3483000	3243000	2763000	3843000	
320	3408000	3600000	3480000	3240000	2880000	3840000	
321	3405000	3597000	3477000	3237000	2877000	3837000	
322	3402000	3594000	3474000	3234000	2874000	3834000	
323	3399000	3591000	3471000	3231000	2871000	3831000	
324	3396000	3588000	3468000	3228000	2868000	3828000	
325	3417000	3585000	3465000	3225000	2985000	3825000	
326	3414000	3582000	3462000	3222000	2982000	3822000	
327	3483000	3699000	3459000	3339000	3099000	3819000	
328	3480000	3696000	3456000	3336000	3096000	3816000	
329	3477000	3693000	3453000	3333000	3093000	3813000	
330	3498000	3690000	3450000	3330000	3210000	3810000	
331	3519000	3687000	3567000	3327000	3207000	3807000	
332	3516000	3684000	3564000	3324000	3204000	3804000	
333	3537000	3801000	3561000	3321000	3201000	3801000	
334	3534000	3798000	3558000	3318000	3198000	3798000	
335	3531000	3795000	3555000	3315000	3195000	3795000	
336	3552000	3792000	3552000	3432000	3192000	3792000	
337	3549000	3789000	3549000	3429000	3189000	3789000	
338	3546000	3786000	3546000	3426000	3186000	3786000	
339	3567000	3783000	3663000	3423000	3183000	3783000	
340	3612000	3780000	3660000	3420000	3300000	3900000	
341	3609000	3777000	3657000	3417000	3297000	3897000	
342	3630000	3774000	3654000	3534000	3294000	3894000	
343	3651000	3771000	3651000	3531000	3411000	3891000	
344	3672000	3768000	3648000	3528000	3408000	4008000	
345	3669000	3765000	3645000	3525000	3405000	4005000	
346	3690000	3762000	3762000	3522000	3402000	4002000	
347	3687000	3759000	3759000	3519000	3399000	3999000	
348	3732000	3876000	3756000	3516000	3516000	3996000	
349	3729000	3873000	3753000	3513000	3513000	3993000	
350	3750000	3870000	3870000	3510000	3510000	3990000	
351	3771000	3867000	3867000	3507000	3627000	3987000	
352	3792000	3864000	3864000	3504000	3744000	3984000	
353	3789000	3861000	3861000	3501000	3741000	3981000	
354	3810000	3858000	3978000	3498000	3738000	3978000	
355	3831000	3855000	3975000	3495000	3735000	4095000	
356	3900000	3852000	4092000	3492000	3852000	4212000	
357	3921000	3969000	4089000	3489000	3849000	4209000	
358	3918000	3966000	4086000	3486000	3846000	4206000	
359	3915000	3963000	4083000	3483000	3843000	4203000	
360	3936000	3960000	4200000	3480000	3840000	4200000	
361	3957000	4077000	4197000	3477000	3837000	4197000	
